20
130 11
7013 9631 1
2064 6248 1
7389 9276 1
5888 9084 1
746 916 1
2141 7461 1
6876 9728 1
4004 8195 1
3220 8897 1
817 4103 1
4056 7978 1
965 9466 1
849 7477 1
325 1127 1
1089 7010 1
1612 3924 1
3699 3851 1
2685 9999 1
3126 7685 1
2592 4581 1
1448 8569 1
2845 5880 1
3879 6823 1
4407 4906 1
6904 9030 1
312 6280 1
4996 6896 1
1801 4731 1
5122 6316 1
2447 9328 1
1352 1567 1
5249 5363 1
5800 8050 1
6427 9670 1
1217 5016 1
284 9955 1
778 4353 1
6375 9065 1
1692 4614 1
1987 5391 1
1833 4519 1
2851 6549 1
1530 4746 1
2804 3281 1
4595 4793 1
4462 6392 1
1254 5893 1
1491 5208 1
534 2433 1
365 6116 1
2682 7072 1
5653 7479 1
803 9195 1
2506 9987 1
8813 9028 1
2830 7398 1
567 588 1
1709 5379 1
968 6372 1
6240 9311 1
3266 7473 1
2813 7082 1
5559 5601 1
4545 8616 1
3246 6775 1
5598 7118 1
3677 3936 1
4595 8112 1
4308 7412 1
8994 9891 1
2604 6292 1
675 1905 1
2667 8671 1
2195 2510 1
6635 9384 1
7672 9017 1
5836 8923 1
1743 8242 1
2337 6576 1
1732 6778 1
1163 5672 1
1935 2625 1
6883 7125 1
4044 8180 1
3101 5818 1
1315 2539 1
1311 7569 1
5694 9741 1
75 231 1
1007 3509 1
4399 7655 1
636 9477 1
1991 6310 1
9224 9366 1
1959 4020 1
4140 5046 1
1982 4948 1
2082 3674 1
256 2457 1
3817 4899 1
5462 5925 1
6302 9174 1
5767 9378 1
3541 6278 1
3460 7554 1
876 1340 1
244 3684 1
2360 7452 1
1418 7149 1
148 6035 1
6862 8253 1
2000 6092 1
3722 3997 1
5103 6948 1
356 2436 1
6821 8171 1
1876 3899 1
3670 8462 1
861 8628 1
1876 2245 1
3693 6008 1
6729 7029 1
1697 2171 1
645 2204 1
666 9923 1
4791 7251 1
7064 8748 1
5876 9617 1
4308 7625 1
2877 6640 1
2476 6466 1
580 7366 1
5866 7553 1
3337 3917 1
171 7771 1
1141 2908 1
4943 6363 1
1559 6572 1
3396 4343 1
2697 3920 1
2152 6845 1
7300 7391 1
204 6597 1
4871 8529 1
4881 7381 1
4806 6441 1
83 5804 1
4208 9738 1
2147 2853 1
1687 4150 1
2578 9058 1
1507 8411 1
2020 3599 1
8550 9429 1
4162 6972 1
1838 5515 1
3078 5268 1
1080 6212 1
7761 9182 1
4832 5590 1
668 3586 1
9115 9128 1
7022 8605 1
49 5617 1
363 4825 1
6849 9971 1
5127 5558 1
6578 7047 1
2105 5211 1
8995 9884 1
1113 9622 1
514 7860 1
3786 7530 1
1582 2573 1
4984 5264 1
1698 5595 1
1108 4576 1
1507 2513 1
1720 6486 1
400 5617 1
6212 7361 1
1397 6808 1
7118 7219 1
2142 2358 1
4783 9184 1
3558 9052 1
102 4293 1
3973 9060 1
6223 9018 1
7171 9343 1
887 9577 1
783 2163 1
1047 1491 1
1705 5330 1
9477 9972 1
5439 6690 1
5901 6275 1
5835 8170 1
4924 6852 1
4741 8446 1
5172 9720 1
263 2542 1
7838 8664 1
6114 9317 1
5767 7576 1
1864 8427 1
2183 7102 1
3964 8295 1
2592 7300 1
4700 9019 1
3042 9294 1
6783 7094 1
4851 4865 1
1907 8655 1
3437 4451 1
5039 9308 1
6926 9627 1
1577 4667 1
3280 4100 1
936 8423 1
2317 9914 1
5957 7124 1
4564 7835 1
1429 2918 1
9756 9880 1
442 7925 1
6946 7379 1
5659 9703 1
5374 7511 1
1538 8274 1
9671 9725 1
6217 6312 1
803 2535 1
4222 5797 1
6512 8398 1
6915 9808 1
7249 9203 1
4278 6362 1
5225 7952 1
3108 7564 1
4300 8629 1
4976 7081 1
6179 8039 1
5940 6151 1
5112 7511 1
1266 3532 1
2579 7503 1
8480 9027 1
2069 3269 1
2669 3577 1
2274 4061 1
1350 2056 1
2300 9875 1
4452 7403 1
5926 6234 1
1917 9857 1
709 2949 1
1606 4751 1
905 9635 1
3739 8355 1
1318 4374 1
796 3854 1
5419 9037 1
4850 8991 1
4833 7035 1
630 5072 1
546 2754 1
1894 7679 1
407 4132 1
877 9662 1
4966 5939 1
5750 7372 1
2062 4064 1
3063 3800 1
156 13
2926 3262 1
1781 6908 6
1537 6448 6
5810 6426 10
8052 9617 9
38 2607 3
2860 6431 2
2830 7155 10
7124 7921 10
192 3233 13
4905 9618 6
5321 7166 10
287 7092 8
4046 8943 9
4448 8784 5
4700 6821 4
1374 2452 13
6523 8554 9
2374 9731 5
1347 4774 2
2980 8842 10
2435 6411 11
3518 9969 10
2559 4240 1
1586 6802 1
5913 9203 4
181 9234 9
621 8323 10
2793 7775 11
2334 7152 13
2185 4339 6
1043 1655 3
5616 7572 10
6220 7373 7
1050 2883 1
3121 9821 10
6486 6749 5
7843 7953 2
2920 4819 13
4294 8135 3
4195 7438 4
5863 6207 7
3625 8284 10
4729 6222 10
3273 6170 11
4473 7462 5
4924 8482 10
3314 9190 3
4021 9604 5
1050 2065 9
744 9909 9
3084 7645 6
6226 9515 12
848 4204 13
5747 7461 2
3332 9966 6
4533 5788 8
5620 7061 2
1285 3003 2
2323 5178 8
6151 9014 10
5052 8983 12
2504 3827 13
8066 9895 4
7807 9338 2
168 1263 5
3670 9836 8
7677 9917 13
3148 8654 10
2964 5670 5
1817 8284 4
3684 7136 13
5347 8521 1
6636 7154 7
7701 9102 10
262 9475 2
5612 7486 11
1922 4807 10
3060 3978 13
3463 4532 12
1725 1801 12
3268 3703 5
3403 3587 8
3205 4853 6
3594 9827 6
1001 8791 1
714 9889 10
767 3292 2
225 8320 9
5117 7870 13
1164 2924 4
5605 9652 6
3842 4049 3
3001 8261 1
5130 7726 9
8610 9598 8
3569 6423 9
511 3454 13
2393 6637 5
5570 7522 10
2838 9540 5
384 3623 10
2596 7493 7
1519 5619 3
1046 9207 12
1422 6262 2
1081 8904 1
3396 9335 12
944 3057 4
5600 5614 11
5977 6637 12
5967 9290 12
8459 8925 13
2459 4264 5
4829 8812 5
610 6536 12
873 6702 1
4248 8671 12
19 6523 11
4254 4839 5
5119 7567 4
2059 4130 1
3543 5498 9
5496 6440 1
2849 8807 9
4994 7838 13
2249 3052 3
536 9977 8
5235 8473 13
2309 8113 7
3897 5718 9
1244 3699 11
5392 6642 12
5738 7834 7
3694 6394 7
2637 3099 1
4823 7470 3
949 8172 7
3154 6030 4
4481 4922 13
1241 4050 3
1990 2909 1
206 9709 2
1877 7481 4
535 8439 8
1906 5274 3
516 6125 11
3925 7549 8
578 824 5
2142 8138 3
1556 4672 9
8493 8991 10
4076 9690 6
5975 6510 5
4760 7246 5
3324 8924 6
399 1
1932 5419 1
5229 7711 1
763 6628 1
3046 9626 1
3555 6732 1
2555 9915 1
109 1742 1
6291 8889 1
370 9649 1
4248 7557 1
1829 6375 1
6 3812 1
1174 8859 1
5704 8489 1
674 9759 1
2912 4934 1
4798 8723 1
9491 9625 1
2625 5099 1
1383 7237 1
1354 6904 1
3112 6172 1
3097 9129 1
7053 9044 1
7996 9129 1
6075 7283 1
2443 3443 1
5090 7124 1
6121 9252 1
2745 4790 1
7751 8162 1
5130 5673 1
9253 9689 1
1293 3497 1
1701 3440 1
2141 5990 1
5657 7925 1
280 2912 1
4921 9601 1
3513 4148 1
9070 9181 1
46 2924 1
7721 8720 1
241 2590 1
3532 8839 1
2486 8950 1
3819 3841 1
3037 5641 1
721 8212 1
8248 9484 1
246 3762 1
2147 9044 1
6170 6283 1
1077 2894 1
1213 4368 1
1233 4767 1
1645 9517 1
1281 3553 1
4013 5161 1
3312 5560 1
3686 4797 1
96 1481 1
5441 9654 1
2832 4656 1
5712 6683 1
4123 8424 1
2274 2498 1
4009 8572 1
1537 4454 1
3142 4504 1
5687 6540 1
2272 3046 1
7609 9304 1
4882 6096 1
3458 5028 1
994 5470 1
459 1588 1
2700 6518 1
2327 5153 1
1417 9967 1
426 7369 1
624 6339 1
5707 7721 1
824 9790 1
1185 5188 1
3794 7440 1
4113 7071 1
4127 6305 1
2737 9576 1
3872 5151 1
5508 7130 1
5558 8759 1
2953 5082 1
6423 9508 1
3695 4305 1
4001 8187 1
3208 4978 1
7966 8545 1
9002 9423 1
6507 9718 1
1395 7087 1
6977 8186 1
7510 8065 1
2882 5847 1
981 4724 1
2134 9520 1
3693 5067 1
6408 8015 1
5361 7064 1
2322 5127 1
7137 8875 1
5371 7936 1
5803 9118 1
2691 2723 1
5898 8324 1
1578 4605 1
2132 3712 1
5800 7934 1
1393 2218 1
535 959 1
3798 4335 1
3912 4772 1
6137 7131 1
959 4346 1
211 8053 1
3603 8776 1
7429 9607 1
8393 8799 1
5000 8933 1
5915 6128 1
5053 8633 1
5270 8006 1
724 8271 1
5702 6055 1
500 3073 1
2840 9956 1
2335 8228 1
5071 6825 1
574 2073 1
3751 5947 1
3850 7633 1
2221 6205 1
295 3442 1
3674 7163 1
2010 5689 1
2546 4539 1
602 5997 1
384 2466 1
5523 5597 1
6663 7446 1
2849 9429 1
1027 1945 1
1045 6640 1
938 2916 1
375 6596 1
1135 1357 1
3393 5436 1
7046 7377 1
3216 7192 1
7118 7627 1
2488 4249 1
5681 6970 1
8410 9875 1
1190 2701 1
685 4341 1
4031 9396 1
3115 5645 1
482 2900 1
685 9042 1
7728 8071 1
9448 9966 1
2412 2945 1
43 966 1
2052 8714 1
3683 8627 1
972 6983 1
324 5787 1
4794 5647 1
3745 9813 1
2388 5863 1
258 2363 1
5324 8541 1
4016 6111 1
513 7500 1
3425 4235 1
4379 5193 1
3186 6020 1
9174 9828 1
592 2067 1
3877 6278 1
5840 9055 1
7740 9479 1
126 6892 1
8975 9746 1
4919 7373 1
2053 7541 1
2248 5438 1
5768 7650 1
5099 9262 1
1441 9942 1
4849 9849 1
4724 7735 1
2147 2520 1
2753 5194 1
304 3362 1
5329 5746 1
6215 9524 1
1338 6136 1
1251 8464 1
4002 5504 1
57 807 1
1366 7843 1
3444 9126 1
995 8793 1
31 209 1
4195 8696 1
258 2063 1
3407 4183 1
4167 5676 1
459 1402 1
521 1503 1
6762 9398 1
2827 3946 1
3398 6043 1
1402 5661 1
8008 9052 1
4338 5198 1
4338 8135 1
5014 9087 1
8121 9572 1
7216 7257 1
2630 8727 1
109 660 1
4126 5975 1
3291 5317 1
3108 6452 1
1862 3162 1
3015 4863 1
6198 7015 1
726 6951 1
1334 6924 1
1783 9690 1
1040 1875 1
478 5870 1
2573 7809 1
5721 8301 1
2555 3600 1
3274 5624 1
2201 6161 1
7755 7790 1
2330 5586 1
4127 4934 1
1696 2389 1
5435 7608 1
4343 9645 1
802 1691 1
1940 2972 1
1314 5670 1
4161 8029 1
2567 7864 1
2625 9283 1
2116 9932 1
42 3819 1
7317 9288 1
643 5665 1
1218 8094 1
1919 4972 1
0 8684 1
2293 6458 1
5414 5945 1
5330 6773 1
2282 7527 1
7796 8318 1
4431 9149 1
1811 4060 1
433 5458 1
4444 7234 1
7043 9248 1
4910 6557 1
2294 8254 1
526 8329 1
4939 5748 1
842 7134 1
1239 2559 1
2801 8149 1
7636 8063 1
5661 8646 1
2957 4033 1
6245 7304 1
2275 5619 1
6817 7573 1
966 7970 1
3373 5037 1
175 5575 1
3884 3886 1
4706 4893 1
1322 6709 1
6324 8166 1
952 9921 1
2323 3452 1
2382 4269 1
6782 8327 1
7683 9640 1
2803 9481 1
9406 9450 1
3078 8869 1
5813 8520 1
700 4726 1
753 5158 1
995 6663 1
268 5014 1
1196 7175 1
1611 6306 1
352 5389 1
4186 4792 1
6964 9247 1
3222 9494 1
251 9367 1
2034 3206 1
2319 7951 1
5086 6292 1
1250 9319 1
4055 8395 1
5904 9324 1
164 8264 1
1795 2379 1
409 8157 1
399 1269 1
3998 9861 1
5645 9163 1
6483 9986 1
653 9372 1
1318 5443 1
5126 9271 1
1674 5993 1
1524 9939 1
6729 8119 1
1241 6407 1
6841 9891 1
1757 5402 1
810 8890 1
950 9679 1
4267 5069 1
989 3547 1
5710 9585 1
822 9366 1
4242 5914 1
4066 6298 1
7154 9239 1
4407 6758 1
9394 9873 1
5624 6677 1
7702 9775 1
1867 9699 1
4009 7242 1
8567 9042 1
4532 5329 1
51 5774 1
849 9988 1
205 5698 1
4381 6981 1
609 8912 1
4347 4967 1
1939 4572 1
1696 9983 1
1504 2254 1
5348 9160 1
2892 3408 1
1783 8122 1
7264 9042 1
8699 9185 1
5098 9207 1
8858 9248 1
1827 9765 1
5356 6049 1
2641 7675 1
2495 5266 1
6470 7309 1
4601 7836 1
3812 6755 1
82 6013 1
0 1590 1
2673 9764 1
2318 8232 1
5306 8139 1
2516 10000 1
4017 5986 1
1227 6107 1
1414 4560 1
1092 5508 1
3583 3617 1
3748 8905 1
3434 7022 1
1345 3950 1
6672 7340 1
8919 9913 1
4778 7809 1
607 3222 1
2074 8434 1
17 9
5808 9715 7
1753 9133 7
5921 8917 7
3012 6776 9
6547 9921 7
5501 6627 6
6302 8702 8
5779 5867 1
1183 1998 2
6506 8789 3
7291 7921 1
3435 6688 6
4321 9070 3
3836 6684 3
4541 4640 3
750 5089 7
941 8131 1
141 99
5205 7340 75
5180 6950 2
7086 9364 86
3373 4440 80
1179 3562 89
1142 5504 99
4448 9869 3
3366 6541 71
3188 5859 4
8375 9409 58
5371 6137 35
1060 7202 17
4256 8785 17
6272 8356 5
7950 8264 76
2506 6429 99
2409 7353 25
124 6967 77
1135 1570 94
3348 5012 52
3979 6041 27
2834 9562 31
337 1258 81
4490 9001 7
2981 7691 93
36 8807 48
717 7809 99
662 2760 31
5113 9133 88
3963 4873 17
3261 5474 48
7073 9487 90
3440 3745 57
156 7462 35
4060 9027 94
2431 3849 48
415 2198 55
6289 8560 17
103 7055 54
72 7872 59
7323 8175 35
8834 9219 24
8927 9921 87
2704 3906 93
223 5411 83
1144 7288 27
4193 6582 85
4504 8328 96
4621 6368 86
300 6677 11
3312 4161 10
1029 1892 50
5627 5796 54
833 8176 32
930 9964 82
156 3062 65
2889 8179 66
9232 9481 30
4835 9052 54
6942 8250 9
2407 4841 64
1493 1689 10
5342 8494 76
1499 6134 51
8056 8907 66
950 5350 14
852 3889 1
5365 6773 24
4100 5367 18
7661 9423 59
2457 4414 8
309 8409 41
340 1355 54
751 4710 99
5139 9042 31
1349 1571 23
6044 8860 1
3479 8202 70
5570 9124 37
3240 6851 41
5277 7320 79
836 5189 66
3498 4088 40
4018 8779 36
7356 7420 40
5479 9527 32
2204 6848 40
1473 2344 29
6549 9856 90
949 1560 5
3182 9193 15
3650 9197 67
4091 6702 55
2264 3469 77
4841 5798 91
2853 9758 45
262 4511 21
4384 5354 41
89 3025 17
1241 7942 10
89 1246 98
7849 8683 66
2740 7295 39
204 3281 25
4757 7642 75
6131 6850 79
1550 8685 50
4081 7599 88
1911 9508 74
677 710 4
2763 5910 62
7965 9331 65
4114 5567 93
1257 3972 99
520 3349 9
913 8309 51
2921 3138 51
4073 5846 2
259 2171 14
5685 9994 25
4235 6883 7
1290 5182 72
1244 4920 22
2244 9443 87
3557 6059 68
1943 3295 65
805 1640 59
3018 3755 69
2234 9005 84
5099 5376 30
7206 7890 79
1367 3220 91
3944 7727 14
894 2923 36
42 5117 95
651 9108 53
3338 9208 63
1802 4102 67
581 2336 44
3664 6014 58
5007 5356 7
217 9
4339 5028 7
3746 9140 2
1903 4043 6
6779 8427 3
5819 9433 2
4244 6363 3
5121 5704 3
989 1066 9
4485 6892 7
4360 5286 8
3185 4683 6
7446 8040 4
1193 3614 1
2008 9771 1
2628 8682 3
1601 5356 1
7414 8082 1
3424 8746 7
2759 6192 6
571 8489 4
1137 3280 4
2439 7268 2
6580 7160 5
1006 3567 2
4365 7207 9
1720 5372 8
4944 8525 9
5807 9884 2
7154 9750 2
1727 2266 6
4966 6083 9
1473 2673 4
2692 9790 5
4477 4996 9
1890 9158 9
741 3368 2
4448 7371 4
4110 9083 4
224 3878 4
2507 6159 2
3246 7496 3
4564 7801 2
6685 7465 2
5556 9184 6
8227 8817 4
1583 3977 2
5702 7293 1
3611 5102 7
76 8583 4
1164 9997 3
9220 9924 4
3996 4923 9
5480 9159 4
5692 7098 1
3764 6515 1
1154 9314 9
889 7073 1
4278 4308 8
3403 9389 7
1176 3609 7
9793 9864 7
3684 9977 7
517 6756 3
797 7300 6
7418 7485 6
8731 8836 3
5723 7597 6
4439 6612 3
819 5350 3
2492 4147 6
6844 9880 9
170 2546 3
885 2662 1
76 6205 8
4909 6151 5
3301 7315 5
631 2767 7
3151 8823 1
5306 7284 3
787 8170 1
1278 4521 6
2009 7117 1
1724 5132 3
4107 4984 3
2658 9198 4
3385 7227 1
1070 9340 6
3014 4624 5
7123 9313 6
135 6224 9
4534 6212 2
1922 2941 1
1169 1701 2
4102 6827 3
4178 7522 1
2834 5158 2
676 2489 7
5835 7624 4
121 2221 1
1545 7498 5
1089 2086 9
6080 6984 6
405 6881 9
4140 7169 1
1018 1387 8
3876 8354 8
2211 4512 6
7504 8538 1
6284 9631 2
4600 4932 1
2696 9442 2
452 8586 8
7499 9863 2
1198 4785 7
1735 1968 1
7011 9425 1
1619 8232 4
4200 9169 4
349 8707 7
7306 8961 9
1024 8950 5
2089 5268 9
5611 5887 8
1628 2806 4
1337 6597 1
250 3432 1
1331 9342 4
5050 5655 3
1356 9973 4
2602 4149 3
6436 9978 6
398 2508 9
6484 7220 7
5838 7238 9
3490 3973 7
544 4600 6
7340 7485 6
6524 7967 5
1717 8670 4
1688 5246 6
2394 7915 6
633 2105 1
1782 5621 6
2768 4930 6
7731 9007 6
2717 8569 4
7382 9457 4
5476 9761 7
2402 4233 7
726 6752 9
5976 9767 9
7365 7618 4
3634 8080 1
2094 2487 3
3148 6405 5
2830 5093 7
6432 6497 6
6057 9380 6
2466 6262 5
969 4200 4
6428 7049 2
1861 3241 4
984 5360 8
5552 8301 5
3818 8205 5
2660 9921 1
2382 8259 1
4461 8800 8
1408 9665 8
5137 5293 9
1337 1633 6
637 8121 1
6804 8235 1
2364 9713 6
3916 6684 4
2418 3619 9
8563 9609 6
4396 7429 1
3219 8106 9
2175 4242 8
3060 8448 9
1338 6239 1
431 8328 1
2895 9381 7
5644 9785 5
4500 5148 6
3076 9502 5
9062 9415 2
4451 8121 3
4555 7613 3
2297 8926 8
9362 9716 7
829 4353 2
388 4465 2
5653 9995 8
3964 9687 1
1031 8254 1
8587 9678 1
676 1104 5
1376 6056 3
3920 9596 1
5240 6286 2
5736 7055 5
4442 6786 4
4646 8001 1
4126 9028 9
278 4807 4
8492 9715 3
1423 7463 4
1856 5631 4
9370 9972 3
7825 9232 5
7727 7786 9
877 8739 4
4858 5546 7
564 2542 1
3119 5908 8
25 12
4377 9522 7
2810 6034 8
310 8057 1
740 9540 7
3280 8696 2
3354 5905 12
871 5385 7
878 7765 9
7838 8953 3
7831 8095 2
7025 9409 10
4432 6512 5
6214 7380 3
7829 8247 7
3540 3982 8
3999 8884 3
7846 8933 3
2700 6536 11
1420 9193 5
3460 3757 1
82 3625 7
398 1739 6
887 4783 6
3918 4442 7
2967 9770 6
477 1
22 5555 1
8168 9039 1
1169 5974 1
7147 9577 1
657 5948 1
1182 9652 1
1009 1217 1
4980 7040 1
243 974 1
354 711 1
352 709 1
4317 4872 1
2294 8945 1
9453 9694 1
6406 9969 1
1249 8705 1
357 2951 1
1032 2701 1
7768 9920 1
1789 7059 1
3400 5196 1
1870 5134 1
5134 5834 1
1549 8701 1
7540 9748 1
4283 7744 1
3288 8395 1
4102 6811 1
790 2404 1
4616 9162 1
3028 7940 1
5061 6004 1
2382 7583 1
6702 8019 1
5799 7398 1
3174 5242 1
3667 9681 1
4381 9244 1
306 1967 1
1129 2124 1
4346 7820 1
3416 7072 1
8972 9498 1
2363 7170 1
4273 5304 1
5947 7819 1
289 3796 1
2728 8583 1
854 3694 1
3694 6670 1
7136 9999 1
584 1107 1
2335 5220 1
2347 5508 1
4490 5054 1
1216 6147 1
1457 9563 1
1479 9652 1
2809 7954 1
4065 5089 1
8834 9165 1
1757 4683 1
4868 5559 1
2522 6432 1
6139 9851 1
4283 8664 1
4366 7044 1
306 4549 1
6773 8290 1
747 5790 1
3396 4423 1
1402 7171 1
2679 4326 1
437 5447 1
2521 9450 1
886 1960 1
3860 9186 1
7444 9597 1
2895 5399 1
5205 5934 1
3699 7497 1
3753 7567 1
2186 8774 1
2302 7572 1
2530 4071 1
6570 8689 1
318 4232 1
8151 8390 1
3055 7727 1
4104 7361 1
4405 7136 1
9022 9482 1
1904 5965 1
1281 1593 1
6114 9345 1
2331 7489 1
524 1281 1
4638 8374 1
1249 4163 1
4307 5008 1
800 8748 1
1456 9031 1
1424 8436 1
4267 5340 1
7866 9042 1
3666 5642 1
1639 3897 1
1634 9273 1
965 6010 1
5392 7480 1
5491 8722 1
258 5725 1
2345 7584 1
2090 7469 1
4517 6719 1
2153 9321 1
2531 4866 1
656 3298 1
5989 8381 1
2336 2370 1
588 5692 1
4038 8042 1
7931 9332 1
2572 9183 1
631 2530 1
6875 8469 1
2722 4655 1
142 4828 1
4784 9910 1
8516 8635 1
4384 8910 1
5289 9734 1
776 1916 1
1373 5943 1
2947 6351 1
1458 4083 1
1938 6908 1
5865 8542 1
373 7177 1
4584 5708 1
795 9994 1
664 1909 1
2105 8862 1
1009 8242 1
1002 7041 1
4141 5267 1
4016 7832 1
2345 8165 1
3528 6846 1
719 3071 1
4904 6755 1
683 1233 1
2737 9058 1
3359 8916 1
716 8952 1
5241 8909 1
3418 7932 1
1086 7851 1
5459 9519 1
525 3120 1
7435 9249 1
5851 6439 1
1881 2374 1
2500 3794 1
3284 7156 1
412 8017 1
1579 4000 1
3930 9182 1
6177 6323 1
548 854 1
5320 7680 1
2781 8652 1
3985 7844 1
1142 4106 1
4674 6525 1
3604 4202 1
5891 9762 1
1498 3899 1
5196 7091 1
949 1746 1
1876 6894 1
1687 9926 1
3558 8023 1
888 2862 1
6551 9496 1
2051 5997 1
1044 8856 1
368 7690 1
3374 7870 1
2005 7766 1
2541 9228 1
2409 3207 1
509 3998 1
2175 3406 1
63 8609 1
1945 1985 1
6450 9139 1
4956 5229 1
7052 7647 1
4444 5628 1
2023 6866 1
1313 5520 1
249 5972 1
7130 9545 1
7030 7911 1
7055 7495 1
6238 6699 1
3909 6352 1
86 228 1
6049 8614 1
2371 5951 1
2050 8708 1
8047 8606 1
213 7755 1
8524 9925 1
4755 5756 1
1112 4791 1
262 756 1
3683 7650 1
6173 8697 1
6180 7395 1
6286 8793 1
5099 7034 1
6002 8731 1
2344 9805 1
4798 8250 1
9142 9240 1
1219 2637 1
3139 5177 1
634 8658 1
1834 2593 1
1536 7465 1
2173 9246 1
6708 7966 1
6806 9350 1
3411 9310 1
217 3701 1
7634 9868 1
